Date,Category,Type,Amount,Responsible_Person,Relation
18-01-2024,Transport,Expense,8959,Man,Self
18-01-2024,Medical_Expenses,Expense,4763,Shared,Children
18-01-2024,Shopping,Expense,8344,Spouse,Spouse
18-01-2024,Vacations_Travel,Expense,6860,Shared,Children
18-01-2024,Emergency_Fund,Expense,11240,Man,Self
18-01-2024,Fixed_Deposits_Gold,Expense,2867,Spouse,Spouse
18-01-2024,Children_Activities,Expense,7135,Spouse,Spouse
19-01-2024,House_Rent,Expense,11553,Man,Self
19-01-2024,Maintenance_Charges,Expense,4266,Man,Self
19-01-2024,Utilities,Expense,9386,Man,Self
19-01-2024,Insurance,Expense,6992,Man,Self
19-01-2024,Groceries_Household,Expense,5887,Spouse,Spouse
19-01-2024,Medical_Expenses,Expense,11824,Shared,Children
19-01-2024,Vacations_Travel,Expense,6377,Shared,Children
19-01-2024,Fixed_Deposits_Gold,Expense,4786,Spouse,Spouse
20-01-2024,House_Rent,Expense,7752,Man,Self
20-01-2024,Maintenance_Charges,Expense,9854,Man,Self
20-01-2024,Utilities,Expense,2548,Man,Self
20-01-2024,Insurance,Expense,5393,Man,Self
20-01-2024,Groceries_Household,Expense,8940,Spouse,Spouse
20-01-2024,Dining_Out_Entertainment,Expense,7423,Spouse,Spouse
20-01-2024,Shopping,Expense,8424,Spouse,Spouse
20-01-2024,Vacations_Travel,Expense,4717,Shared,Children
20-01-2024,Emergency_Fund,Expense,8536,Man,Self
20-01-2024,Mutual_Funds_Stocks,Expense,10716,Man,Self
20-01-2024,Children_Activities,Expense,5643,Spouse,Spouse
21-01-2024,Maintenance_Charges,Expense,4149,Man,Self
21-01-2024,Insurance,Expense,5012,Man,Self
21-01-2024,Groceries_Household,Expense,7361,Spouse,Spouse
21-01-2024,Transport,Expense,5899,Man,Self
21-01-2024,Medical_Expenses,Expense,2310,Shared,Children
21-01-2024,Shopping,Expense,6653,Spouse,Spouse
21-01-2024,Vacations_Travel,Expense,8936,Shared,Children
21-01-2024,Mutual_Funds_Stocks,Expense,5227,Man,Self
21-01-2024,Children_Education,Expense,4573,Man,Self
21-01-2024,Children_Activities,Expense,3180,Spouse,Spouse
22-01-2024,House_Rent,Expense,2720,Man,Self
22-01-2024,Utilities,Expense,6433,Man,Self
22-01-2024,Transport,Expense,9874,Man,Self
22-01-2024,Dining_Out_Entertainment,Expense,6762,Spouse,Spouse
22-01-2024,Medical_Expenses,Expense,5483,Shared,Children
22-01-2024,Shopping,Expense,3787,Spouse,Spouse
22-01-2024,Vacations_Travel,Expense,7060,Shared,Children
22-01-2024,Emergency_Fund,Expense,2842,Man,Self
22-01-2024,Fixed_Deposits_Gold,Expense,8014,Spouse,Spouse
23-01-2024,Insurance,Expense,5713,Man,Self
23-01-2024,Groceries_Household,Expense,4886,Spouse,Spouse
23-01-2024,Dining_Out_Entertainment,Expense,4339,Spouse,Spouse
23-01-2024,Medical_Expenses,Expense,7301,Shared,Children
23-01-2024,Vacations_Travel,Expense,3968,Shared,Children
23-01-2024,Emergency_Fund,Expense,9723,Man,Self
23-01-2024,Fixed_Deposits_Gold,Expense,7236,Spouse,Spouse
24-01-2024,Utilities,Expense,9353,Man,Self
24-01-2024,Insurance,Expense,10605,Man,Self
24-01-2024,Groceries_Household,Expense,2499,Spouse,Spouse
24-01-2024,Transport,Expense,7073,Man,Self
24-01-2024,Vacations_Travel,Expense,3460,Shared,Children
24-01-2024,Emergency_Fund,Expense,3121,Man,Self
24-01-2024,Children_Education,Expense,11136,Man,Self
25-01-2024,Transport,Expense,11711,Man,Self
25-01-2024,Shopping,Expense,5430,Spouse,Spouse
25-01-2024,Emergency_Fund,Expense,8414,Man,Self
25-01-2024,Mutual_Funds_Stocks,Expense,4388,Man,Self
25-01-2024,Children_Education,Expense,3520,Man,Self
25-01-2024,Children_Activities,Expense,6430,Spouse,Spouse
26-01-2024,House_Rent,Expense,5193,Man,Self
26-01-2024,Utilities,Expense,5793,Man,Self
26-01-2024,Emergency_Fund,Expense,10953,Man,Self
26-01-2024,Mutual_Funds_Stocks,Expense,8219,Man,Self
26-01-2024,Fixed_Deposits_Gold,Expense,8639,Spouse,Spouse
26-01-2024,Children_Activities,Expense,11991,Spouse,Spouse
27-01-2024,House_Rent,Expense,8564,Man,Self
27-01-2024,Maintenance_Charges,Expense,4378,Man,Self
27-01-2024,Dining_Out_Entertainment,Expense,6628,Spouse,Spouse
27-01-2024,Medical_Expenses,Expense,3694,Shared,Children
27-01-2024,Shopping,Expense,10900,Spouse,Spouse
27-01-2024,Mutual_Funds_Stocks,Expense,11273,Man,Self
27-01-2024,Fixed_Deposits_Gold,Expense,9490,Spouse,Spouse
27-01-2024,Children_Activities,Expense,3928,Spouse,Spouse
28-01-2024,Freelance_Income,Income,6622,Man,Self
28-01-2024,Utilities,Expense,7171,Man,Self
28-01-2024,Insurance,Expense,4056,Man,Self
28-01-2024,Transport,Expense,3307,Man,Self
28-01-2024,Vacations_Travel,Expense,2739,Shared,Children
28-01-2024,Children_Education,Expense,6264,Man,Self
28-01-2024,Children_Activities,Expense,6661,Spouse,Spouse
29-01-2024,Utilities,Expense,10517,Man,Self
29-01-2024,Shopping,Expense,8210,Spouse,Spouse
29-01-2024,Mutual_Funds_Stocks,Expense,2475,Man,Self
29-01-2024,Children_Education,Expense,6559,Man,Self
30-01-2024,Freelance_Income,Income,8908,Man,Self
30-01-2024,Maintenance_Charges,Expense,5827,Man,Self
30-01-2024,Utilities,Expense,6485,Man,Self
30-01-2024,Insurance,Expense,2179,Man,Self
30-01-2024,Transport,Expense,3601,Man,Self
30-01-2024,Vacations_Travel,Expense,3425,Shared,Children
30-01-2024,Fixed_Deposits_Gold,Expense,4536,Spouse,Spouse
30-01-2024,Children_Education,Expense,9587,Man,Self
30-01-2024,Children_Activities,Expense,2714,Spouse,Spouse
31-01-2024,Utilities,Expense,10843,Man,Self
31-01-2024,Insurance,Expense,10041,Man,Self
31-01-2024,Groceries_Household,Expense,4231,Spouse,Spouse
31-01-2024,Transport,Expense,9945,Man,Self
31-01-2024,Medical_Expenses,Expense,5914,Shared,Children
31-01-2024,Vacations_Travel,Expense,2940,Shared,Children
01-02-2024,Man_Salary,Income,108948,Man,Self
01-02-2024,Spouse_Salary,Income,66008,Spouse,Spouse
01-02-2024,Maintenance_Charges,Expense,2495,Man,Self
01-02-2024,Insurance,Expense,10178,Man,Self
01-02-2024,Transport,Expense,3625,Man,Self
01-02-2024,Dining_Out_Entertainment,Expense,8306,Spouse,Spouse
01-02-2024,Medical_Expenses,Expense,2967,Shared,Children
01-02-2024,Vacations_Travel,Expense,5483,Shared,Children
01-02-2024,Children_Activities,Expense,7788,Spouse,Spouse
02-02-2024,Freelance_Income,Income,10619,Man,Self
02-02-2024,House_Rent,Expense,11661,Man,Self
02-02-2024,Maintenance_Charges,Expense,5563,Man,Self
02-02-2024,Utilities,Expense,10597,Man,Self
02-02-2024,Insurance,Expense,8562,Man,Self
02-02-2024,Groceries_Household,Expense,8996,Spouse,Spouse
02-02-2024,Transport,Expense,3713,Man,Self
02-02-2024,Medical_Expenses,Expense,10695,Shared,Children
02-02-2024,Shopping,Expense,3803,Spouse,Spouse
02-02-2024,Vacations_Travel,Expense,5971,Shared,Children
02-02-2024,Emergency_Fund,Expense,4429,Man,Self
02-02-2024,Fixed_Deposits_Gold,Expense,5081,Spouse,Spouse
03-02-2024,House_Rent,Expense,7699,Man,Self
03-02-2024,Utilities,Expense,3992,Man,Self
03-02-2024,Dining_Out_Entertainment,Expense,7363,Spouse,Spouse
03-02-2024,Medical_Expenses,Expense,11075,Shared,Children
03-02-2024,Vacations_Travel,Expense,6206,Shared,Children
03-02-2024,Children_Education,Expense,8021,Man,Self
03-02-2024,Children_Activities,Expense,4156,Spouse,Spouse
04-02-2024,Freelance_Income,Income,9286,Man,Self
04-02-2024,Maintenance_Charges,Expense,8542,Man,Self
04-02-2024,Utilities,Expense,9179,Man,Self
04-02-2024,Transport,Expense,2434,Man,Self
04-02-2024,Dining_Out_Entertainment,Expense,8261,Spouse,Spouse
04-02-2024,Medical_Expenses,Expense,8668,Shared,Children
04-02-2024,Vacations_Travel,Expense,9445,Shared,Children
04-02-2024,Emergency_Fund,Expense,10214,Man,Self
04-02-2024,Fixed_Deposits_Gold,Expense,2209,Spouse,Spouse
05-02-2024,Interest_Dividends,Income,2611,Man,Self
05-02-2024,House_Rent,Expense,37226,Man,Self
05-02-2024,Groceries_Household,Expense,3402,Spouse,Spouse
05-02-2024,Transport,Expense,8494,Man,Self
05-02-2024,Dining_Out_Entertainment,Expense,10977,Spouse,Spouse
05-02-2024,Medical_Expenses,Expense,5271,Shared,Children
05-02-2024,Children_Education,Expense,2642,Man,Self
05-02-2024,Children_Activities,Expense,9856,Spouse,Spouse
06-02-2024,Maintenance_Charges,Expense,6472,Man,Self
06-02-2024,Utilities,Expense,3198,Man,Self
06-02-2024,Dining_Out_Entertainment,Expense,9987,Spouse,Spouse
06-02-2024,Medical_Expenses,Expense,6746,Shared,Children
06-02-2024,Emergency_Fund,Expense,2994,Man,Self
06-02-2024,Fixed_Deposits_Gold,Expense,6506,Spouse,Spouse
06-02-2024,Children_Activities,Expense,7337,Spouse,Spouse
07-02-2024,Maintenance_Charges,Expense,3424,Man,Self
07-02-2024,Utilities,Expense,8061,Man,Self
07-02-2024,Insurance,Expense,9365,Man,Self
07-02-2024,Medical_Expenses,Expense,11755,Shared,Children
07-02-2024,Vacations_Travel,Expense,5504,Shared,Children
07-02-2024,Emergency_Fund,Expense,8319,Man,Self
07-02-2024,Mutual_Funds_Stocks,Expense,3198,Man,Self
07-02-2024,Children_Education,Expense,2303,Man,Self
08-02-2024,Maintenance_Charges,Expense,7034,Man,Self
08-02-2024,Transport,Expense,10396,Man,Self
08-02-2024,Medical_Expenses,Expense,2705,Shared,Children
08-02-2024,Shopping,Expense,9903,Spouse,Spouse
08-02-2024,Vacations_Travel,Expense,9960,Shared,Children
08-02-2024,Mutual_Funds_Stocks,Expense,10548,Man,Self
08-02-2024,Fixed_Deposits_Gold,Expense,7340,Spouse,Spouse
08-02-2024,Children_Activities,Expense,9371,Spouse,Spouse
09-02-2024,Freelance_Income,Income,5070,Man,Self
09-02-2024,Maintenance_Charges,Expense,9322,Man,Self
09-02-2024,Insurance,Expense,7259,Man,Self
09-02-2024,Groceries_Household,Expense,2731,Spouse,Spouse
09-02-2024,Transport,Expense,9566,Man,Self
09-02-2024,Dining_Out_Entertainment,Expense,2526,Spouse,Spouse
09-02-2024,Medical_Expenses,Expense,2933,Shared,Children
09-02-2024,Emergency_Fund,Expense,9908,Man,Self
09-02-2024,Children_Education,Expense,6497,Man,Self
09-02-2024,Children_Activities,Expense,6955,Spouse,Spouse
10-02-2024,House_Rent,Expense,10243,Man,Self
10-02-2024,Maintenance_Charges,Expense,8794,Man,Self
10-02-2024,Groceries_Household,Expense,5722,Spouse,Spouse
10-02-2024,Transport,Expense,7102,Man,Self
10-02-2024,Emergency_Fund,Expense,11811,Man,Self
10-02-2024,Mutual_Funds_Stocks,Expense,2421,Man,Self
10-02-2024,Children_Education,Expense,18838,Man,Self
10-02-2024,Children_Activities,Expense,5619,Spouse,Spouse
11-02-2024,Freelance_Income,Income,6898,Man,Self
11-02-2024,Groceries_Household,Expense,6942,Spouse,Spouse
11-02-2024,Transport,Expense,5350,Man,Self
11-02-2024,Medical_Expenses,Expense,4432,Shared,Children
11-02-2024,Shopping,Expense,4910,Spouse,Spouse
11-02-2024,Vacations_Travel,Expense,2330,Shared,Children
11-02-2024,Fixed_Deposits_Gold,Expense,2552,Spouse,Spouse
11-02-2024,Children_Education,Expense,11880,Man,Self
11-02-2024,Children_Activities,Expense,4619,Spouse,Spouse
12-02-2024,Freelance_Income,Income,8572,Man,Self
12-02-2024,House_Rent,Expense,5558,Man,Self
12-02-2024,Maintenance_Charges,Expense,7099,Man,Self
12-02-2024,Utilities,Expense,9490,Man,Self
12-02-2024,Insurance,Expense,11851,Man,Self
12-02-2024,Groceries_Household,Expense,4109,Spouse,Spouse
12-02-2024,Medical_Expenses,Expense,11576,Shared,Children
12-02-2024,Shopping,Expense,3082,Spouse,Spouse
12-02-2024,Emergency_Fund,Expense,5362,Man,Self
12-02-2024,Children_Education,Expense,9037,Man,Self
12-02-2024,Children_Activities,Expense,4113,Spouse,Spouse
13-02-2024,Freelance_Income,Income,11268,Man,Self
13-02-2024,House_Rent,Expense,3580,Man,Self
13-02-2024,Insurance,Expense,9485,Man,Self
13-02-2024,Transport,Expense,2365,Man,Self
13-02-2024,Dining_Out_Entertainment,Expense,4757,Spouse,Spouse
13-02-2024,Medical_Expenses,Expense,5111,Shared,Children
13-02-2024,Shopping,Expense,10640,Spouse,Spouse
13-02-2024,Mutual_Funds_Stocks,Expense,5327,Man,Self
13-02-2024,Children_Education,Expense,6339,Man,Self
13-02-2024,Children_Activities,Expense,9333,Spouse,Spouse
14-02-2024,Insurance,Expense,4293,Man,Self
14-02-2024,Groceries_Household,Expense,2683,Spouse,Spouse
14-02-2024,Transport,Expense,10409,Man,Self
14-02-2024,Dining_Out_Entertainment,Expense,9379,Spouse,Spouse
14-02-2024,Medical_Expenses,Expense,5336,Shared,Children
14-02-2024,Emergency_Fund,Expense,7853,Man,Self
14-02-2024,Fixed_Deposits_Gold,Expense,6674,Spouse,Spouse
14-02-2024,Children_Education,Expense,6018,Man,Self
14-02-2024,Children_Activities,Expense,6670,Spouse,Spouse
15-02-2024,Freelance_Income,Income,7169,Man,Self
15-02-2024,Maintenance_Charges,Expense,3862,Man,Self
15-02-2024,Utilities,Expense,9397,Man,Self
15-02-2024,Groceries_Household,Expense,2411,Spouse,Spouse
15-02-2024,Transport,Expense,5963,Man,Self
15-02-2024,Dining_Out_Entertainment,Expense,7066,Spouse,Spouse
15-02-2024,Medical_Expenses,Expense,8748,Shared,Children
15-02-2024,Emergency_Fund,Expense,9719,Man,Self
15-02-2024,Mutual_Funds_Stocks,Expense,7313,Man,Self
15-02-2024,Fixed_Deposits_Gold,Expense,10027,Spouse,Spouse
15-02-2024,Children_Activities,Expense,3452,Spouse,Spouse
16-02-2024,Freelance_Income,Income,7068,Man,Self
16-02-2024,Dining_Out_Entertainment,Expense,7025,Spouse,Spouse
16-02-2024,Vacations_Travel,Expense,11046,Shared,Children
16-02-2024,Emergency_Fund,Expense,7095,Man,Self
16-02-2024,Mutual_Funds_Stocks,Expense,9856,Man,Self
16-02-2024,Children_Activities,Expense,8733,Spouse,Spouse
17-02-2024,Vacations_Travel,Expense,11819,Shared,Children
17-02-2024,Fixed_Deposits_Gold,Expense,8455,Spouse,Spouse
17-02-2024,Children_Activities,Expense,5222,Spouse,Spouse
18-02-2024,Freelance_Income,Income,8588,Man,Self
18-02-2024,Utilities,Expense,6113,Man,Self
18-02-2024,Groceries_Household,Expense,7434,Spouse,Spouse
18-02-2024,Shopping,Expense,3089,Spouse,Spouse
18-02-2024,Vacations_Travel,Expense,2687,Shared,Children
18-02-2024,Mutual_Funds_Stocks,Expense,4925,Man,Self
18-02-2024,Children_Education,Expense,7863,Man,Self
18-02-2024,Children_Activities,Expense,10804,Spouse,Spouse
19-02-2024,House_Rent,Expense,4952,Man,Self
19-02-2024,Groceries_Household,Expense,10027,Spouse,Spouse
19-02-2024,Transport,Expense,4210,Man,Self
19-02-2024,Dining_Out_Entertainment,Expense,5750,Spouse,Spouse
19-02-2024,Medical_Expenses,Expense,7764,Shared,Children
19-02-2024,Vacations_Travel,Expense,2219,Shared,Children
19-02-2024,Children_Education,Expense,2504,Man,Self
20-02-2024,Freelance_Income,Income,6876,Man,Self
20-02-2024,House_Rent,Expense,6624,Man,Self
20-02-2024,Maintenance_Charges,Expense,6884,Man,Self
20-02-2024,Utilities,Expense,3795,Man,Self
20-02-2024,Insurance,Expense,3862,Man,Self
20-02-2024,Groceries_Household,Expense,11021,Spouse,Spouse
20-02-2024,Transport,Expense,2476,Man,Self
20-02-2024,Shopping,Expense,10881,Spouse,Spouse
20-02-2024,Mutual_Funds_Stocks,Expense,2193,Man,Self
20-02-2024,Children_Activities,Expense,5483,Spouse,Spouse
21-02-2024,Maintenance_Charges,Expense,5381,Man,Self
21-02-2024,Utilities,Expense,6289,Man,Self
21-02-2024,Insurance,Expense,4518,Man,Self
21-02-2024,Groceries_Household,Expense,9845,Spouse,Spouse
21-02-2024,Transport,Expense,9035,Man,Self
21-02-2024,Dining_Out_Entertainment,Expense,10445,Spouse,Spouse
21-02-2024,Shopping,Expense,3186,Spouse,Spouse
21-02-2024,Emergency_Fund,Expense,4924,Man,Self
21-02-2024,Children_Activities,Expense,4370,Spouse,Spouse
22-02-2024,Utilities,Expense,4031,Man,Self
22-02-2024,Groceries_Household,Expense,11367,Spouse,Spouse
22-02-2024,Transport,Expense,4133,Man,Self
22-02-2024,Dining_Out_Entertainment,Expense,7309,Spouse,Spouse
22-02-2024,Medical_Expenses,Expense,6241,Shared,Children
22-02-2024,Emergency_Fund,Expense,4845,Man,Self
22-02-2024,Fixed_Deposits_Gold,Expense,7328,Spouse,Spouse
23-02-2024,Utilities,Expense,11216,Man,Self
23-02-2024,Insurance,Expense,8123,Man,Self
23-02-2024,Groceries_Household,Expense,5055,Spouse,Spouse
23-02-2024,Transport,Expense,9791,Man,Self
23-02-2024,Dining_Out_Entertainment,Expense,8972,Spouse,Spouse
23-02-2024,Vacations_Travel,Expense,3340,Shared,Children
23-02-2024,Children_Education,Expense,2787,Man,Self
23-02-2024,Children_Activities,Expense,6409,Spouse,Spouse
24-02-2024,House_Rent,Expense,11353,Man,Self
24-02-2024,Maintenance_Charges,Expense,10992,Man,Self
24-02-2024,Groceries_Household,Expense,3751,Spouse,Spouse
24-02-2024,Dining_Out_Entertainment,Expense,3252,Spouse,Spouse
24-02-2024,Medical_Expenses,Expense,3902,Shared,Children
24-02-2024,Vacations_Travel,Expense,5933,Shared,Children
24-02-2024,Emergency_Fund,Expense,2239,Man,Self
24-02-2024,Mutual_Funds_Stocks,Expense,4351,Man,Self
24-02-2024,Fixed_Deposits_Gold,Expense,11885,Spouse,Spouse
24-02-2024,Children_Education,Expense,2679,Man,Self
24-02-2024,Children_Activities,Expense,3773,Spouse,Spouse
25-02-2024,House_Rent,Expense,7684,Man,Self
25-02-2024,Maintenance_Charges,Expense,8690,Man,Self
25-02-2024,Mutual_Funds_Stocks,Expense,6202,Man,Self
25-02-2024,Children_Activities,Expense,3106,Spouse,Spouse
26-02-2024,Freelance_Income,Income,7859,Man,Self
26-02-2024,Groceries_Household,Expense,7053,Spouse,Spouse
26-02-2024,Dining_Out_Entertainment,Expense,2231,Spouse,Spouse
26-02-2024,Emergency_Fund,Expense,11333,Man,Self
26-02-2024,Mutual_Funds_Stocks,Expense,11678,Man,Self
26-02-2024,Fixed_Deposits_Gold,Expense,4854,Spouse,Spouse
27-02-2024,House_Rent,Expense,4518,Man,Self
27-02-2024,Insurance,Expense,5541,Man,Self
27-02-2024,Groceries_Household,Expense,9620,Spouse,Spouse
